iata,name,city,city_norm,country,continent,type,lat,lon
AAL,Aalborg Airport,Aalborg,aalborg,DK,EU,large_airport,57.094763,9.84993
AAR,Aarhus Airport,Aarhus,aarhus,DK,EU,large_airport,56.303331,10.618286
JEG,Aasiaat Airport,Aasiaat,aasiaat,GL,NA,medium_airport,68.721802,-52.784698
ABD,Abadan Ayatollah Jami International Airport,Abadan,abadan,IR,AS,large_airport,30.367887,48.230075
ABA,Abakan International Airport,Abakan,abakan,RU,AS,large_airport,53.740002,91.385002
YXX,Abbotsford International Airport,Abbotsford,abbotsford,CA,NA,medium_airport,49.025299,-122.361
AEH,Abeche Airport,Abeche,abeche,TD,AF,medium_airport,13.847,20.844299
ABZ,Aberdeen International Airport,Aberdeen,aberdeen,GB,EU,large_airport,57.2019,-2.19778
AHB,Abha International Airport,Abha,abha,SA,AS,large_airport,18.2404,42.656601
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,abidjan,CI,AF,large_airport,5.26139,-3.92629
ABI,Abilene Regional Airport,Abilene,abilene,US,NA,medium_airport,32.4113006592,-99.68190002440001
MYG,Mayaguana Airport,Abraham Bay Settlement,abraham bay settlement,BS,NA,medium_airport,22.379499,-73.013494
AUH,Zayed International Airport,Abu Dhabi,abu dhabi,AE,AS,large_airport,24.440966,54.649237
AEU,Abu Musa Island Airport,Abu Musa,abu musa,IR,AS,medium_airport,25.8757,55.033001
ABS,Abu Simbel Airport,Abu Simbel,abu simbel,EG,AF,large_airport,22.374402,31.609881
ABV,Nnamdi Azikiwe International Airport,Abuja,abuja,NG,AF,large_airport,9.00679,7.26317
ACA,General Juan N. Álvarez International Airport,Acapulco,acapulco,MX,NA,large_airport,16.757126,-99.753113
ACC,Kotoka International Airport,Accra,accra,GH,AF,large_airport,5.605189800262451,-0.16678600013256073
DMM,King Fahd International Airport,Ad Dammam,ad dammam,SA,AS,large_airport,26.4691,49.798209
ADK,Adak Airport,Adak,adak,US,NA,medium_airport,51.883564,-176.642783
ADD,Addis Ababa Bole International Airport,Addis Ababa,addis ababa,ET,AF,large_airport,8.97789,38.799301
ADL,Adelaide International Airport,Adelaide,adelaide,AU,OC,large_airport,-34.947512,138.533393
